Loading init from /workspace/pathfinder/train/checkpoints/d5_muon/best_model.pt
Loaded d=5 H=256 L=5 376,321 params
Init LER @ 4-param p=0.007: 0.02850
  >>> saved init checkpoint (ler=0.02850)
step  35100/40000  loss=0.1040  32.7 s/s  ETA 2min
step  35200/40000  loss=0.0606  32.7 s/s  ETA 2min
step  35300/40000  loss=0.1021  32.7 s/s  ETA 2min
step  35400/40000  loss=0.1102  32.7 s/s  ETA 2min
step  35500/40000  loss=0.1199  32.7 s/s  ETA 2min
step  35600/40000  loss=0.0791  32.7 s/s  ETA 2min
step  35700/40000  loss=0.0783  32.7 s/s  ETA 2min
step  35800/40000  loss=0.1090  32.7 s/s  ETA 2min
step  35900/40000  loss=0.0744  32.7 s/s  ETA 2min
step  36000/40000  loss=0.0884  32.7 s/s  ETA 2min
  >>> LER @ p=0.007: 0.02590
step  36100/40000  loss=0.0601  32.7 s/s  ETA 2min
step  36200/40000  loss=0.0859  32.7 s/s  ETA 2min
step  36300/40000  loss=0.0720  32.7 s/s  ETA 2min
step  36400/40000  loss=0.0800  32.7 s/s  ETA 2min
step  36500/40000  loss=0.0784  32.7 s/s  ETA 2min
step  36600/40000  loss=0.1156  32.7 s/s  ETA 2min
step  36700/40000  loss=0.0851  32.7 s/s  ETA 2min
step  36800/40000  loss=0.0349  32.7 s/s  ETA 2min
step  36900/40000  loss=0.0682  32.7 s/s  ETA 2min
step  37000/40000  loss=0.0804  32.7 s/s  ETA 2min
step  37100/40000  loss=0.1323  32.7 s/s  ETA 1min
step  37200/40000  loss=0.0401  32.7 s/s  ETA 1min
step  37300/40000  loss=0.1053  32.7 s/s  ETA 1min
step  37400/40000  loss=0.1212  32.7 s/s  ETA 1min
step  37500/40000  loss=0.1106  32.7 s/s  ETA 1min
step  37600/40000  loss=0.0566  32.7 s/s  ETA 1min
step  37700/40000  loss=0.0696  32.7 s/s  ETA 1min
step  37800/40000  loss=0.0979  32.7 s/s  ETA 1min
step  37900/40000  loss=0.0607  32.7 s/s  ETA 1min
step  38000/40000  loss=0.0873  32.7 s/s  ETA 1min
  >>> LER @ p=0.007: 0.02720
step  38100/40000  loss=0.0674  32.7 s/s  ETA 1min
step  38200/40000  loss=0.0680  32.7 s/s  ETA 1min
step  38300/40000  loss=0.1628  32.7 s/s  ETA 1min
step  38400/40000  loss=0.0666  32.7 s/s  ETA 1min
step  38500/40000  loss=0.0986  32.7 s/s  ETA 1min
step  38600/40000  loss=0.1025  32.7 s/s  ETA 1min
step  38700/40000  loss=0.1140  32.7 s/s  ETA 1min
step  38800/40000  loss=0.0922  32.7 s/s  ETA 1min
step  38900/40000  loss=0.0803  32.7 s/s  ETA 1min
step  39000/40000  loss=0.0681  32.7 s/s  ETA 1min
step  39100/40000  loss=0.0822  32.7 s/s  ETA 0min
step  39200/40000  loss=0.0890  32.7 s/s  ETA 0min
step  39300/40000  loss=0.0853  32.7 s/s  ETA 0min
step  39400/40000  loss=0.0716  32.7 s/s  ETA 0min
step  39500/40000  loss=0.0817  32.7 s/s  ETA 0min
step  39600/40000  loss=0.0378  32.7 s/s  ETA 0min
step  39700/40000  loss=0.0681  32.7 s/s  ETA 0min
step  39800/40000  loss=0.0570  32.7 s/s  ETA 0min
step  39900/40000  loss=0.0427  32.7 s/s  ETA 0min

Final LER @ p=0.007 (50K shots): 0.02774
