PathfinderHybrid d=7 H=192 L=7 heads=8 attn_every=2: 4,355,521 params
Pre-compiled 41 samplers (4-parameter noise).
Optimizer split: 2,543,808 Muon params, 1,811,713 AdamW params
step  40800/80000  loss=0.0081  p=0.00287  7.6 s/s  ETA 86min
step  41000/80000  loss=0.0040  p=0.00289  7.6 s/s  ETA 85min
step  41200/80000  loss=0.0209  p=0.00291  7.6 s/s  ETA 85min
step  41400/80000  loss=0.0119  p=0.00292  7.6 s/s  ETA 84min
step  41600/80000  loss=0.0143  p=0.00294  7.6 s/s  ETA 84min
step  41800/80000  loss=0.0234  p=0.00296  7.6 s/s  ETA 84min
step  42000/80000  loss=0.0100  p=0.00298  7.6 s/s  ETA 83min
step  42200/80000  loss=0.0553  p=0.00299  7.6 s/s  ETA 83min
step  42400/80000  loss=0.0374  p=0.00301  7.6 s/s  ETA 82min
step  42600/80000  loss=0.0248  p=0.00303  7.6 s/s  ETA 82min
step  42800/80000  loss=0.0333  p=0.00305  7.6 s/s  ETA 81min
step  43000/80000  loss=0.0132  p=0.00306  7.6 s/s  ETA 81min
step  43200/80000  loss=0.0083  p=0.00308  7.6 s/s  ETA 81min
step  43400/80000  loss=0.0579  p=0.00310  7.6 s/s  ETA 80min
step  43600/80000  loss=0.0286  p=0.00312  7.6 s/s  ETA 80min
step  43800/80000  loss=0.0135  p=0.00313  7.6 s/s  ETA 79min
step  44000/80000  loss=0.0113  p=0.00315  7.6 s/s  ETA 79min
  >>> LER @ p=0.007: 0.10830
  >>> saved (ler=0.10830)
step  44200/80000  loss=0.0185  p=0.00317  7.6 s/s  ETA 78min
step  44400/80000  loss=0.0373  p=0.00319  7.6 s/s  ETA 78min
step  44600/80000  loss=0.0064  p=0.00320  7.6 s/s  ETA 78min
step  44800/80000  loss=0.0314  p=0.00322  7.6 s/s  ETA 77min
step  45000/80000  loss=0.0129  p=0.00324  7.6 s/s  ETA 77min
step  45200/80000  loss=0.0154  p=0.00325  7.6 s/s  ETA 76min
step  45400/80000  loss=0.0038  p=0.00327  7.6 s/s  ETA 76min
step  45600/80000  loss=0.0176  p=0.00329  7.6 s/s  ETA 75min
