Loading init from /workspace/pathfinder/train/checkpoints/d7_final/best_model.pt
Loaded d=7 H=256 L=7 500,225 params
Init LER @ 4-param p=0.007: 0.04130
  >>> saved init checkpoint (ler=0.04130)
step  32300/40000  loss=0.1169  19.3 s/s  ETA 7min
step  32400/40000  loss=0.0767  19.3 s/s  ETA 7min
step  32500/40000  loss=0.0791  19.3 s/s  ETA 6min
step  32600/40000  loss=0.0952  19.3 s/s  ETA 6min
step  32700/40000  loss=0.0936  19.3 s/s  ETA 6min
step  32800/40000  loss=0.0605  19.3 s/s  ETA 6min
step  32900/40000  loss=0.0707  19.3 s/s  ETA 6min
step  33000/40000  loss=0.1126  19.3 s/s  ETA 6min
step  33100/40000  loss=0.1188  19.3 s/s  ETA 6min
step  33200/40000  loss=0.0825  19.3 s/s  ETA 6min
step  33300/40000  loss=0.0936  19.3 s/s  ETA 6min
step  33400/40000  loss=0.1005  19.3 s/s  ETA 6min
step  33500/40000  loss=0.0941  19.3 s/s  ETA 6min
step  33600/40000  loss=0.1274  19.3 s/s  ETA 6min
step  33700/40000  loss=0.1002  19.3 s/s  ETA 5min
step  33800/40000  loss=0.0976  19.3 s/s  ETA 5min
step  33900/40000  loss=0.1197  19.3 s/s  ETA 5min
step  34000/40000  loss=0.0889  19.3 s/s  ETA 5min
  >>> LER @ p=0.007: 0.03500
step  34100/40000  loss=0.1178  19.3 s/s  ETA 5min
step  34200/40000  loss=0.0610  19.3 s/s  ETA 5min
step  34300/40000  loss=0.0785  19.3 s/s  ETA 5min
step  34400/40000  loss=0.0714  19.3 s/s  ETA 5min
step  34500/40000  loss=0.0915  19.3 s/s  ETA 5min
step  34600/40000  loss=0.1017  19.3 s/s  ETA 5min
step  34700/40000  loss=0.0702  19.3 s/s  ETA 5min
step  34800/40000  loss=0.0668  19.3 s/s  ETA 4min
step  34900/40000  loss=0.1007  19.3 s/s  ETA 4min
step  35000/40000  loss=0.0979  19.3 s/s  ETA 4min
step  35100/40000  loss=0.0833  19.3 s/s  ETA 4min
step  35200/40000  loss=0.0983  19.3 s/s  ETA 4min
step  35300/40000  loss=0.0836  19.3 s/s  ETA 4min
step  35400/40000  loss=0.1047  19.3 s/s  ETA 4min
step  35500/40000  loss=0.0682  19.3 s/s  ETA 4min
step  35600/40000  loss=0.0979  19.3 s/s  ETA 4min
step  35700/40000  loss=0.0933  19.3 s/s  ETA 4min
step  35800/40000  loss=0.0714  19.3 s/s  ETA 4min
step  35900/40000  loss=0.1265  19.3 s/s  ETA 4min
step  36000/40000  loss=0.0923  19.3 s/s  ETA 3min
  >>> LER @ p=0.007: 0.03860
step  36100/40000  loss=0.0547  19.3 s/s  ETA 3min
step  36200/40000  loss=0.0798  19.3 s/s  ETA 3min
step  36300/40000  loss=0.1132  19.3 s/s  ETA 3min
step  36400/40000  loss=0.1268  19.3 s/s  ETA 3min
step  36500/40000  loss=0.1110  19.3 s/s  ETA 3min
step  36600/40000  loss=0.1578  19.3 s/s  ETA 3min
step  36700/40000  loss=0.0893  19.3 s/s  ETA 3min
step  36800/40000  loss=0.0791  19.3 s/s  ETA 3min
step  36900/40000  loss=0.0483  19.3 s/s  ETA 3min
step  37000/40000  loss=0.0607  19.3 s/s  ETA 3min
step  37100/40000  loss=0.0822  19.3 s/s  ETA 3min
step  37200/40000  loss=0.0569  19.3 s/s  ETA 2min
step  37300/40000  loss=0.0892  19.3 s/s  ETA 2min
step  37400/40000  loss=0.0516  19.3 s/s  ETA 2min
step  37500/40000  loss=0.1330  19.3 s/s  ETA 2min
step  37600/40000  loss=0.1294  19.3 s/s  ETA 2min
step  37700/40000  loss=0.1015  19.3 s/s  ETA 2min
step  37800/40000  loss=0.1139  19.3 s/s  ETA 2min
step  37900/40000  loss=0.1094  19.3 s/s  ETA 2min
step  38000/40000  loss=0.1017  19.3 s/s  ETA 2min
