Ablation: AdamW on ALL params, d=7, H=256, L=7, 500,225 params
Pre-compiled 41 samplers at 3-parameter noise (Table 4 methodology).
step  26600/80000  loss=0.4225  p=0.00163  33.4 s/s  ETA 27min
step  26700/80000  loss=0.3849  p=0.00164  33.4 s/s  ETA 27min
step  26800/80000  loss=0.3219  p=0.00165  33.4 s/s  ETA 27min
step  26900/80000  loss=0.3691  p=0.00165  33.4 s/s  ETA 27min
step  27000/80000  loss=0.3549  p=0.00166  33.4 s/s  ETA 26min
step  27100/80000  loss=0.4836  p=0.00167  33.4 s/s  ETA 26min
step  27200/80000  loss=0.4366  p=0.00168  33.4 s/s  ETA 26min
step  27300/80000  loss=0.3849  p=0.00169  33.3 s/s  ETA 26min
step  27400/80000  loss=0.3691  p=0.00170  33.3 s/s  ETA 26min
step  27500/80000  loss=0.3300  p=0.00171  33.3 s/s  ETA 26min
step  27600/80000  loss=0.3312  p=0.00171  33.3 s/s  ETA 26min
step  27700/80000  loss=0.3922  p=0.00172  33.3 s/s  ETA 26min
step  27800/80000  loss=0.3691  p=0.00173  33.3 s/s  ETA 26min
step  27900/80000  loss=0.3191  p=0.00174  33.3 s/s  ETA 26min
step  28000/80000  loss=0.3459  p=0.00175  33.3 s/s  ETA 26min
  >>> LER @ p=0.007: 0.34480
step  28100/80000  loss=0.4064  p=0.00176  33.3 s/s  ETA 26min
step  28200/80000  loss=0.3769  p=0.00177  33.3 s/s  ETA 26min
step  28300/80000  loss=0.4439  p=0.00178  33.3 s/s  ETA 26min
step  28400/80000  loss=0.3176  p=0.00179  33.3 s/s  ETA 26min
step  28500/80000  loss=0.3693  p=0.00179  33.3 s/s  ETA 26min
step  28600/80000  loss=0.3993  p=0.00180  33.3 s/s  ETA 26min
step  28700/80000  loss=0.4067  p=0.00181  33.3 s/s  ETA 26min
step  28800/80000  loss=0.4069  p=0.00182  33.3 s/s  ETA 26min
step  28900/80000  loss=0.3483  p=0.00183  33.3 s/s  ETA 26min
step  29000/80000  loss=0.4496  p=0.00184  33.3 s/s  ETA 26min
step  29100/80000  loss=0.3917  p=0.00185  33.3 s/s  ETA 25min
step  29200/80000  loss=0.4290  p=0.00186  33.3 s/s  ETA 25min
step  29300/80000  loss=0.4063  p=0.00186  33.3 s/s  ETA 25min
step  29400/80000  loss=0.4149  p=0.00187  33.3 s/s  ETA 25min
step  29500/80000  loss=0.4540  p=0.00188  33.3 s/s  ETA 25min
step  29600/80000  loss=0.4600  p=0.00189  33.3 s/s  ETA 25min
step  29700/80000  loss=0.3543  p=0.00190  33.3 s/s  ETA 25min
step  29800/80000  loss=0.4134  p=0.00191  33.3 s/s  ETA 25min
step  29900/80000  loss=0.4285  p=0.00192  33.3 s/s  ETA 25min
step  30000/80000  loss=0.3924  p=0.00193  33.3 s/s  ETA 25min
  >>> LER @ p=0.007: 0.34720
step  30100/80000  loss=0.3923  p=0.00193  33.3 s/s  ETA 25min
step  30200/80000  loss=0.4418  p=0.00194  33.3 s/s  ETA 25min
step  30300/80000  loss=0.4678  p=0.00195  33.3 s/s  ETA 25min
step  30400/80000  loss=0.4465  p=0.00196  33.3 s/s  ETA 25min
step  30500/80000  loss=0.3782  p=0.00197  33.3 s/s  ETA 25min
step  30600/80000  loss=0.3510  p=0.00198  33.3 s/s  ETA 25min
step  30700/80000  loss=0.3993  p=0.00199  33.3 s/s  ETA 25min
step  30800/80000  loss=0.4133  p=0.00200  33.3 s/s  ETA 25min
step  30900/80000  loss=0.3845  p=0.00200  33.3 s/s  ETA 25min
step  31000/80000  loss=0.4063  p=0.00201  33.3 s/s  ETA 25min
